what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.base,22.0.5.v201307292155--757759,"com.android.ide.eclipse.base",1393988346637
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1393988346638
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1393988346638
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1393988346638
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1393988346639
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1393988346639
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1393988346640
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1393988346640
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1393988346640
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1393988346641
os,sysinfo,,,"linux",1393988346644
arch,sysinfo,,,"x86_64",1393988346644
ws,sysinfo,,,"gtk",1393988346644
locale,sysinfo,,,"en_US",1393988346644
processors,sysinfo,,,"8",1393988346644
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1393988346644
java.runtime.version,sysinfo,,,"1.6.0-b105",1393988346644
java.specification.name,sysinfo,,,"Java Platform API Specification",1393988346644
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1393988346644
java.specification.version,sysinfo,,,"1.6",1393988346644
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1393988346644
java.version,sysinfo,,,"1.6.0",1393988346644
java.vm.info,sysinfo,,,"mixed mode",1393988346644
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1393988346644
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1393988346644
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1393988346644
java.vm.specification.version,sysinfo,,,"1.0",1393988346644
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1393988346644
java.vm.version,sysinfo,,,"1.6.0-b105",1393988346644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393988347906
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1393988347914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393988351801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393988365096
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393988366401
