what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1394044671795
closed,editor,,,"org.python.pyeclipse.PythonEditor",1394044671795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394044673455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394044689771
started,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1394044691307
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1394044691314
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1394044691319
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1394044691335
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1394044691347
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1394044691365
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1394044691368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394044692258
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1394044692343
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1394044692354
error,log,,,"Unexpected exception: Unable to read repository at http://marketplace.eclipse.org/sites/default/files/styles/medium/public/jrebel_logo%20CYMK.png?itok=vSWrynIY.",1394044813611
error,log,,,"Unexpected exception: Unable to read repository at http://marketplace.eclipse.org/sites/default/files/styles/medium/public/LicenseServerReport.png?itok=917fPcc-.",1394044813664
error,log,,,"Unexpected exception: Unable to read repository at http://marketplace.eclipse.org/sites/default/files/styles/medium/public/eclipsecon-logo-130px-x-100px.jpg?itok=xUJfFDNM.",1394044813674
executed,command,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1394044861021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394044861049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394044861359
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: /tmp/signatureFile57299.jar",1394044868849
