what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0",1394410449056
java.vm.info,sysinfo,,,"mixed mode",1394410449056
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1394410449056
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1394410449056
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1394410449056
java.vm.specification.version,sysinfo,,,"1.0",1394410449056
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1394410449056
java.vm.version,sysinfo,,,"1.6.0-b105",1394410449056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394410456635
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1394410466874
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1394410469850
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1394410469859
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1394410471789
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1394410471791
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1394410471859
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1394410471967
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1394410472120
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1394410472172
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1394410472195
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1394410472221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1394410472398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394410472424
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1394410474309
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1394410475915
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1394410475918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394410478614
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1394410485601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394410486288
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394410486891
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1394410487120
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1394410487407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394410488609
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1394410489233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394410489658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1394410498041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394410499902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394410500931
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1394410513820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394410523492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394410523824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394410573564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394410573773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1394410576167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394410578580
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1394410582408
